City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chuy,-33.6971,-53.4616,66.02,90,0,10.36,UY,1669772541
1,ouadda,8.0777,22.4007,76.17,39,100,0.96,CF,1669772541
2,dikson,73.5069,80.5464,1.42,100,96,4.05,RU,1669772542
3,ushuaia,-54.8,-68.3,46.06,71,75,11.5,AR,1669772542
4,jamestown,42.097,-79.2353,45.99,83,0,11.99,US,1669772542
5,hobart,-42.8794,147.3294,66.06,48,75,18.41,AU,1669772452
6,watrous,51.6668,-105.4679,6.58,85,100,14.97,CA,1669772543
7,barrow,71.2906,-156.7887,3.22,78,100,12.66,US,1669772384
8,bluff,-46.6,168.3333,59.81,72,52,15.9,NZ,1669772543
9,port blair,11.6667,92.75,82.54,77,81,7.23,IN,1669772543
10,rikitea,-23.1203,-134.9692,72.34,72,78,13.0,PF,1669772544
11,mataura,-46.1927,168.8643,59.49,59,99,8.03,NZ,1669772544
12,bengkulu,-3.8004,102.2655,78.26,85,100,3.49,ID,1669772544
13,constitucion,-35.3333,-72.4167,54.79,94,20,10.36,CL,1669772545
14,hermanus,-34.4187,19.2345,62.8,92,8,6.82,ZA,1669772545
15,port alfred,-33.5906,26.891,69.31,82,2,5.12,ZA,1669772465
16,santa vitoria do palmar,-33.5189,-53.3681,66.61,90,0,10.51,BR,1669772545
17,thompson,55.7435,-97.8558,1.56,71,100,16.11,CA,1669772461
18,puerto ayora,-0.7393,-90.3518,70.56,88,45,5.01,EC,1669772439
19,bilibino,68.0546,166.4372,4.01,98,100,3.91,RU,1669772546
20,sekoma,-24.4,23.8833,69.49,50,7,10.31,BW,1669772546
21,aleksandrovskiy zavod,50.9237,117.9374,-17.61,79,22,4.54,RU,1669772546
22,fukue,32.6881,128.8419,48.56,71,75,23.02,JP,1669772547
23,port moresby,-9.4431,147.1797,92.62,46,40,11.5,PG,1669772547
24,hamada,34.8833,132.0833,52.52,75,98,15.26,JP,1669772547
25,dillon,34.4166,-79.3712,58.24,91,23,6.11,US,1669772548
26,cherskiy,68.75,161.3,-11.67,95,99,7.2,RU,1669772548
27,inverell,-29.7833,151.1167,77.67,55,100,5.01,AU,1669772548
28,poronaysk,49.2167,143.1167,16.25,69,42,13.56,RU,1669772548
29,pleshanovo,52.8333,53.4833,8.33,86,98,4.9,RU,1669772549
30,arlit,18.7369,7.3853,67.12,25,4,7.72,NE,1669772549
31,norman wells,65.282,-126.8329,-32.76,68,75,0.0,CA,1669772549
32,samana,19.2056,-69.3369,75.63,85,23,5.82,DO,1669772550
33,villa maria,-32.4075,-63.2402,71.13,75,100,6.02,AR,1669772421
34,arkhipo-osipovka,44.37,38.52,42.01,78,100,11.86,RU,1669772550
35,egvekinot,66.3167,-179.1667,24.87,100,100,5.77,RU,1669772550
36,narsaq,60.9167,-46.05,28.62,87,100,4.14,GL,1669772550
37,tilichiki,60.4667,166.1,15.24,91,9,3.11,RU,1669772551
38,new norfolk,-42.7826,147.0587,65.7,52,100,7.0,AU,1669772551
39,lebu,-37.6167,-73.65,54.73,87,96,17.11,CL,1669772551
40,vaini,-21.2,-175.2,78.98,68,43,13.94,TO,1669772551
41,ponta delgada,37.7333,-25.6667,65.12,88,75,8.05,PT,1669772552
42,dunedin,-45.8742,170.5036,56.8,75,100,15.01,NZ,1669772392
43,kruisfontein,-34.0033,24.7314,62.89,80,2,6.49,ZA,1669772552
44,maragogi,-9.0122,-35.2225,75.81,86,100,9.17,BR,1669772552
45,fortuna,40.5982,-124.1573,46.74,82,0,5.75,US,1669772553
46,hosdurga,13.7981,76.2861,67.15,78,13,3.31,IN,1669772553
47,san,13.3034,-4.8956,75.0,19,45,7.02,ML,1669772553
48,havre-saint-pierre,50.2334,-63.5986,15.8,66,0,9.22,CA,1669772553
49,okhotsk,59.3833,143.3,7.65,86,100,29.46,RU,1669772554
50,ancud,-41.8697,-73.8203,47.71,72,6,4.79,CL,1669772554
51,kununurra,-15.7667,128.7333,94.98,29,90,17.27,AU,1669772554
52,bredasdorp,-34.5322,20.0403,63.45,76,7,5.44,ZA,1669772554
53,avarua,-21.2078,-159.775,80.65,74,75,14.97,CK,1669772555
54,qaanaaq,77.484,-69.3632,-17.7,81,19,6.31,GL,1669772555
55,komsomolskiy,40.4272,71.7189,43.52,87,99,4.61,UZ,1669772555
56,todos santos,23.45,-110.2167,70.66,78,23,3.49,MX,1669772555
57,yellowknife,62.456,-114.3525,-24.45,68,40,4.61,CA,1669772556
58,otradnoye,59.7775,30.8181,26.65,90,100,4.85,RU,1669772556
59,tuatapere,-46.1333,167.6833,52.03,90,90,15.84,NZ,1669772556
60,ribeira grande,38.5167,-28.7,60.78,91,45,4.0,PT,1669772556
61,christchurch,-43.5333,172.6333,67.91,63,40,8.05,NZ,1669772342
62,ponta do sol,32.6667,-17.1,63.72,74,12,5.23,PT,1669772557
63,torbay,47.6666,-52.7314,28.58,74,75,12.66,CA,1669772557
64,canutama,-6.5339,-64.3831,77.18,89,99,3.15,BR,1669772557
65,provideniya,64.3833,-173.3,32.36,93,100,13.42,RU,1669772558
66,busselton,-33.65,115.3333,86.43,26,0,9.01,AU,1669772558
67,tomatlan,19.9333,-105.25,70.36,78,15,1.99,MX,1669772558
68,montevideo,-34.8335,-56.1674,76.71,59,0,12.66,UY,1669772555
69,port keats,-14.25,129.55,93.49,42,18,7.38,AU,1669772558
70,saint-augustin,51.226,-58.6502,10.09,79,8,13.22,CA,1669772559
71,chokurdakh,70.6333,147.9167,-9.89,99,100,6.82,RU,1669772559
72,severo-kurilsk,50.6789,156.125,40.01,99,100,9.46,RU,1669772559
73,cabedelo,-6.9811,-34.8339,79.47,74,100,8.75,BR,1669772559
74,pevek,69.7008,170.3133,7.05,95,100,7.7,RU,1669772305
75,oksfjord,70.2396,22.3479,37.58,83,72,6.78,NO,1669772560
76,san patricio,28.017,-97.5169,72.84,92,3,4.79,US,1669772560
77,hithadhoo,-0.6,73.0833,81.28,74,100,6.71,MV,1669772560
78,castro,-24.7911,-50.0119,60.01,95,100,6.98,BR,1669772561
79,khatanga,71.9667,102.5,-22.7,93,5,4.76,RU,1669772561
80,guerrero negro,27.9769,-114.0611,60.31,71,32,10.18,MX,1669772283
81,cabo san lucas,22.8909,-109.9124,73.71,73,0,6.91,MX,1669772561
82,sucua,-2.4667,-78.1667,68.65,87,85,3.6,EC,1669772561
83,arraial do cabo,-22.9661,-42.0278,73.29,90,95,21.32,BR,1669772562
84,victoria,22.2855,114.1577,79.25,87,12,10.0,HK,1669772319
85,binga,-17.6203,27.3414,70.83,69,19,4.32,ZW,1669772562
86,shitanjing,39.2342,106.3439,5.59,17,49,2.57,CN,1669772562
87,tasiilaq,65.6145,-37.6368,37.56,88,100,37.85,GL,1669772563
88,hambantota,6.1241,81.1185,71.94,100,19,3.44,LK,1669772563
89,butaritari,3.0707,172.7902,80.89,76,16,10.56,KI,1669772563
90,geilo,60.5333,8.2076,26.69,97,100,2.06,NO,1669772563
91,saskylakh,71.9167,114.0833,-24.97,99,100,5.93,RU,1669772564
92,saldanha,-33.0117,17.9442,64.45,96,39,2.95,ZA,1669772564
93,san-pedro,4.7485,-6.6363,76.19,90,64,3.8,CI,1669772565
94,albany,42.6001,-73.9662,32.67,78,100,1.01,US,1669772565
95,sept-iles,50.2001,-66.3821,17.6,60,0,6.91,CA,1669772565
96,klaksvik,62.2266,-6.589,43.72,82,100,13.96,FO,1669772565
97,bria,6.5423,21.9863,72.28,74,100,0.58,CF,1669772566
98,henties bay,-22.116,14.2845,59.92,87,68,7.18,NA,1669772566
99,simi,9.5667,-12.35,73.44,93,84,1.74,SL,1669772566
100,sibolga,1.7427,98.7792,82.15,70,72,1.41,ID,1669772566
101,srednekolymsk,67.45,153.6833,-18.4,96,97,8.59,RU,1669772567
102,acapulco,16.8634,-99.8901,78.62,78,75,2.3,MX,1669772505
103,aberdeen,57.1437,-2.0981,41.49,100,100,1.14,GB,1669772538
104,touros,-5.1989,-35.4608,79.97,65,96,9.48,BR,1669772567
105,champerico,14.3,-91.9167,76.26,85,66,9.15,GT,1669772567
106,paamiut,61.994,-49.6678,27.77,83,100,15.82,GL,1669772567
107,mahebourg,-20.4081,57.7,72.25,94,40,4.61,MU,1669772568
108,millbrook,32.4799,-86.3619,68.88,82,100,6.91,US,1669772568
109,el bagre,7.5927,-74.8086,73.0,99,100,1.28,CO,1669772568
110,punta arenas,-53.15,-70.9167,46.51,61,75,23.02,CL,1669772560
111,melita,49.2681,-100.9967,13.53,76,100,17.31,CA,1669772568
112,auki,-8.7676,160.7034,83.08,79,58,3.6,SB,1669772569
113,tarazona,41.9,-1.7333,44.42,70,100,5.7,ES,1669772569
114,miles city,46.4083,-105.8406,13.17,62,0,10.36,US,1669772569
115,ban phai,16.06,102.731,80.82,69,100,0.34,TH,1669772570
116,mar del plata,-38.0023,-57.5575,67.08,94,75,6.91,AR,1669772337
117,ankpa,7.3706,7.6253,72.5,32,17,0.85,NG,1669772570
118,rocha,-34.4833,-54.3333,63.1,92,0,10.94,UY,1669772306
119,upernavik,72.7868,-56.1549,5.63,95,100,14.94,GL,1669772570
120,calabozo,8.9242,-67.4293,73.8,86,100,5.23,VE,1669772570
121,trairi,-3.2778,-39.2689,77.31,83,100,2.89,BR,1669772391
122,rach gia,10.0167,105.0833,81.0,79,100,10.42,VN,1669772571
123,beidao,34.5686,105.8933,23.04,27,100,4.05,CN,1669772571
124,dalbandin,28.8947,64.4101,52.93,41,3,6.06,PK,1669772571
125,angermunde,53.015,13.9992,39.33,83,100,6.31,DE,1669772571
126,longyearbyen,78.2186,15.6401,35.44,80,75,16.11,SJ,1669772505
127,vila velha,-20.3297,-40.2925,73.35,94,100,11.5,BR,1669772572
128,gisborne,-38.6533,178.0042,70.95,62,100,14.74,NZ,1669772572
129,te anau,-45.4167,167.7167,59.81,69,55,4.92,NZ,1669772572
130,cape town,-33.9258,18.4232,64.81,87,75,10.36,ZA,1669772400
131,eskisehir,39.7767,30.5206,39.11,100,0,4.61,TR,1669772573
132,east london,-33.0153,27.9116,69.46,80,25,14.38,ZA,1669772573
